gvkey,Year ,Company,Divident ,Price 
1004,1987,AAR CORP,5.605,18.75
1004,1988,AAR CORP,6.702,24.75
1004,1989,AAR CORP,7.547,36
1004,1990,AAR CORP,7.651,11.5
1004,1991,AAR CORP,7.631,13.5
1004,1992,AAR CORP,7.614,11.75
1004,1993,AAR CORP,7.635,14.5
1004,1994,AAR CORP,7.65,13.375
1004,1995,AAR CORP,7.676,22
1004,1996,AAR CORP,7.976,30.25
1004,1997,AAR CORP,9.118,38.75
1004,1998,AAR CORP,9.375,23.875
1004,1999,AAR CORP,9.218,17.9375
1004,2000,AAR CORP,9.157,12.625
1004,2001,AAR CORP,4.43,9.01
1004,2002,AAR CORP,0.797,5.15
1004,2003,AAR CORP,0,14.95
1004,2004,AAR CORP,0,13.62
1004,2005,AAR CORP,0,23.95
1004,2006,AAR CORP,0,29.19
1004,2007,AAR CORP,0,38.03
1004,2008,AAR CORP,0,18.41
1004,2009,AAR CORP,0,22.98
1004,2010,AAR CORP,2.983,27.47
1004,2011,AAR CORP,12.081,19.17
1004,2012,AAR CORP,12.8,18.68
1004,2013,AAR CORP,11.8,28.01
1004,2014,AAR CORP,12.5,27.78
1004,2015,AAR CORP,10.4,26.29
1004,2016,AAR CORP,10.2,33.05
1004,2017,AAR CORP,10.3,39.29
1004,2018,AAR CORP,10.5,37.34
1004,2019,AAR CORP,10.7,45.1
1004,2020,AAR CORP,0.1,36.22
1004,2021,AAR CORP,0,39.03
1004,2022,AAR CORP,0,44.9
1045,1988,AMERICAN AIRLINES GROUP INC,10.3,53.625
1045,1989,AMERICAN AIRLINES GROUP INC,12.1,58
1045,1990,AMERICAN AIRLINES GROUP INC,0,48.375
1045,1991,AMERICAN AIRLINES GROUP INC,0,70.5
1045,1992,AMERICAN AIRLINES GROUP INC,0,67.5
1045,1993,AMERICAN AIRLINES GROUP INC,49,67
1045,1994,AMERICAN AIRLINES GROUP INC,66,53.25
1045,1995,AMERICAN AIRLINES GROUP INC,5,74.25
1045,1996,AMERICAN AIRLINES GROUP INC,0,88.125
1045,1997,AMERICAN AIRLINES GROUP INC,0,128.5
1045,1998,AMERICAN AIRLINES GROUP INC,0,59.375
1045,1999,AMERICAN AIRLINES GROUP INC,0,67
1045,2000,AMERICAN AIRLINES GROUP INC,0,39.1875
1045,2001,AMERICAN AIRLINES GROUP INC,0,22.3
1045,2002,AMERICAN AIRLINES GROUP INC,0,6.6
1045,2003,AMERICAN AIRLINES GROUP INC,0,12.95
1045,2004,AMERICAN AIRLINES GROUP INC,0,10.95
1045,2005,AMERICAN AIRLINES GROUP INC,0,22.23
1045,2006,AMERICAN AIRLINES GROUP INC,0,30.23
1045,2007,AMERICAN AIRLINES GROUP INC,0,14.03
1045,2008,AMERICAN AIRLINES GROUP INC,0,10.67
1045,2009,AMERICAN AIRLINES GROUP INC,0,7.73
1045,2010,AMERICAN AIRLINES GROUP INC,0,7.79
1045,2011,AMERICAN AIRLINES GROUP INC,0,0.35
1045,2012,AMERICAN AIRLINES GROUP INC,0,0.795
1045,2013,AMERICAN AIRLINES GROUP INC,0,25.25
1045,2014,AMERICAN AIRLINES GROUP INC,144,53.63
1045,2015,AMERICAN AIRLINES GROUP INC,278,42.35
1045,2016,AMERICAN AIRLINES GROUP INC,224,46.69
1045,2017,AMERICAN AIRLINES GROUP INC,198,52.03
1045,2018,AMERICAN AIRLINES GROUP INC,186,32.11
1045,2019,AMERICAN AIRLINES GROUP INC,178,28.68
1045,2020,AMERICAN AIRLINES GROUP INC,43,15.77
1045,2021,AMERICAN AIRLINES GROUP INC,0,17.96
1045,2022,AMERICAN AIRLINES GROUP INC,0,12.72
1050,1987,CECO ENVIRONMENTAL CORP,0,0.25
1050,1988,CECO ENVIRONMENTAL CORP,0,0.562
1050,1989,CECO ENVIRONMENTAL CORP,0,0.156
1050,1990,CECO ENVIRONMENTAL CORP,0,0.125
1050,1991,CECO ENVIRONMENTAL CORP,0,0.406
1050,1992,CECO ENVIRONMENTAL CORP,,3.031
1050,1993,CECO ENVIRONMENTAL CORP,0,3.187
1050,1994,CECO ENVIRONMENTAL CORP,0,1.875
1050,1995,CECO ENVIRONMENTAL CORP,0,3.062
1050,1996,CECO ENVIRONMENTAL CORP,0,2
1050,1997,CECO ENVIRONMENTAL CORP,0,3.062
1050,1998,CECO ENVIRONMENTAL CORP,0,3
1050,1999,CECO ENVIRONMENTAL CORP,0,2.5
1050,2000,CECO ENVIRONMENTAL CORP,0,1.375
1050,2001,CECO ENVIRONMENTAL CORP,0,3.3
1050,2002,CECO ENVIRONMENTAL CORP,0,1.85
1050,2003,CECO ENVIRONMENTAL CORP,0,1.65
1050,2004,CECO ENVIRONMENTAL CORP,0,3.44
1050,2005,CECO ENVIRONMENTAL CORP,0,5.7399
1050,2006,CECO ENVIRONMENTAL CORP,0,8.97
1050,2007,CECO ENVIRONMENTAL CORP,0,10.98
1050,2008,CECO ENVIRONMENTAL CORP,0,2.42
1050,2009,CECO ENVIRONMENTAL CORP,0,3.95
1050,2010,CECO ENVIRONMENTAL CORP,0,5.96
1050,2011,CECO ENVIRONMENTAL CORP,0.728,5.55
1050,2012,CECO ENVIRONMENTAL CORP,2.46,9.95
1050,2013,CECO ENVIRONMENTAL CORP,4.337,16.152
1050,2014,CECO ENVIRONMENTAL CORP,5.937,15.54
1050,2015,CECO ENVIRONMENTAL CORP,7.977,7.68
1050,2016,CECO ENVIRONMENTAL CORP,8.995,13.95
1050,2017,CECO ENVIRONMENTAL CORP,7.792,5.13
1050,2018,CECO ENVIRONMENTAL CORP,0,6.75
1050,2019,CECO ENVIRONMENTAL CORP,0,7.66
1050,2020,CECO ENVIRONMENTAL CORP,0,6.96
1050,2021,CECO ENVIRONMENTAL CORP,0,6.23
1050,2022,CECO ENVIRONMENTAL CORP,0,11.68
1062,1988,ASA GOLD AND PRECIOUS METALS,35.438,38
1062,1989,ASA GOLD AND PRECIOUS METALS,33.669,55.5
1062,1990,ASA GOLD AND PRECIOUS METALS,33.627,46.875
1062,1991,ASA GOLD AND PRECIOUS METALS,29.503,46.875
1062,1992,ASA GOLD AND PRECIOUS METALS,19.547,31.875
1062,1993,ASA GOLD AND PRECIOUS METALS,14.4,49.25
1062,1994,ASA GOLD AND PRECIOUS METALS,19.2,44.875
1062,1995,ASA GOLD AND PRECIOUS METALS,19.2,37.125
1062,1996,ASA GOLD AND PRECIOUS METALS,13.44,34.75
1062,1997,ASA GOLD AND PRECIOUS METALS,11.52,20.562
1062,1998,ASA GOLD AND PRECIOUS METALS,7.68,15.5625
