Year,Stock,Dividends,Price
1988,ACMTA,0.0,8.75
1989,ACMTA,0.0,12.38
1990,ACMTA,0.0,11.88
1991,ACMTA,0.0,10.38
1992,ACMTA,0.0,10.25
1993,ACMTA,0.0,11.12
1994,ACMTA,0.0,9.25
1995,ACMTA,0.0,13.0
1996,ACMTA,0.0,14.75
1997,ACMTA,0.0,17.0
1998,ACMTA,0.0,15.25
1999,ACMTA,0.0,7.25
2000,ACMTA,0.0,7.12
2001,ACMTA,0.0,7.6
2002,ACMTA,0.0,9.0
2003,ACMTA,0.0,12.6
2004,ACMTA,0.0,12.8
2005,ACMTA,0.0,16.8
2006,ACMTA,0.0,23.75
2007,ACMTA,0.0,23.0
2008,ACMTA,0.0,24.0
2009,ACMTA,0.0,23.0
2010,ACMTA,0.0,26.0
2011,ACMTA,0.0,25.0
2012,ACMTA,0.0,22.0
2013,ACMTA,0.0,24.0
2014,ACMTA,0.0,21.0
2015,ACMTA,0.0,18.5
2016,ACMTA,0.0,21.73
2017,ACMTA,0.0,20.07
2018,ACMTA,0.0,29.0
2019,ACMTA,0.0,32.4
2020,ACMTA,0.0,34.5
2021,ACMTA,0.0,34.0
2022,ACMTA,0.0,33.0
