Year,Stock,Dividends,Price
1988,ACU,0.508,6.0
1989,ACU,0.0,4.12
1990,ACU,0.524,5.25
1991,ACU,0.556,7.25
1992,ACU,0.664,5.75
1993,ACU,0.167,4.25
1994,ACU,0.0,3.25
1995,ACU,0.0,3.88
1996,ACU,0.0,5.5
1997,ACU,0.0,6.0
1998,ACU,0.0,2.25
1999,ACU,0.0,1.12
2000,ACU,0.0,2.81
2001,ACU,0.0,3.9
2002,ACU,0.0,3.76
2003,ACU,0.0,5.4
2004,ACU,0.143,15.7
2005,ACU,0.38,13.96
2006,ACU,0.429,14.41
2007,ACU,0.529,14.25
2008,ACU,0.595,7.05
2009,ACU,0.663,9.2
2010,ACU,0.656,9.52
2011,ACU,0.772,9.5
2012,ACU,1.089,11.04
2013,ACU,0.728,14.9
2014,ACU,1.064,19.99
2015,ACU,1.199,17.4
2016,ACU,1.333,25.57
2017,ACU,1.408,23.4
2018,ACU,1.485,14.25
2019,ACU,1.609,23.79
2020,ACU,1.605,30.13
2021,ACU,1.792,33.7
2022,ACU,1.903,21.9
