Year,Stock,Dividends,Price
1988,AIR,6.702,24.75
1989,AIR,7.547,36.0
1990,AIR,7.651,11.5
1991,AIR,7.631,13.5
1992,AIR,7.614,11.75
1993,AIR,7.635,14.5
1994,AIR,7.65,13.38
1995,AIR,7.676,22.0
1996,AIR,7.976,30.25
1997,AIR,9.118,38.75
1998,AIR,9.375,23.88
1999,AIR,9.218,17.94
2000,AIR,9.157,12.62
2001,AIR,4.43,9.01
2002,AIR,0.797,5.15
2003,AIR,0.0,14.95
2004,AIR,0.0,13.62
2005,AIR,0.0,23.95
2006,AIR,0.0,29.19
2007,AIR,0.0,38.03
2008,AIR,0.0,18.41
2009,AIR,0.0,22.98
2010,AIR,2.983,27.47
2011,AIR,12.081,19.17
2012,AIR,12.8,18.68
2013,AIR,11.8,28.01
2014,AIR,12.5,27.78
2015,AIR,10.4,26.29
2016,AIR,10.2,33.05
2017,AIR,10.3,39.29
2018,AIR,10.5,37.34
2019,AIR,10.7,45.1
2020,AIR,0.1,36.22
2021,AIR,0.0,39.03
2022,AIR,0.0,44.9
