Year,Stock,Dividends,Price
1988,ASA,35.438,38.0
1989,ASA,33.669,55.5
1990,ASA,33.627,46.88
1991,ASA,29.503,46.88
1992,ASA,19.547,31.88
1993,ASA,14.4,49.25
1994,ASA,19.2,44.88
1995,ASA,19.2,37.12
1996,ASA,13.44,34.75
1997,ASA,11.52,20.56
1998,ASA,7.68,15.56
1999,ASA,5.76,18.94
2000,ASA,5.76,15.31
2001,ASA,0.0,20.0
2002,ASA,0.0,40.98
2003,ASA,0.0,45.5
2004,ASA,0.0,40.45
2005,ASA,0.0,55.01
2006,ASA,0.0,64.56
2007,ASA,0.0,75.17
2008,ASA,0.0,51.0
2009,ASA,0.0,77.45
2010,ASA,0.0,34.71
2011,ASA,0.0,26.19
2012,ASA,0.0,21.53
2013,ASA,0.0,12.26
2014,ASA,0.0,10.11
2015,ASA,0.0,7.17
2016,ASA,0.0,11.04
2017,ASA,0.0,11.32
2018,ASA,0.0,9.46
2019,ASA,0.0,13.63
2020,ASA,0.0,21.87
2021,ASA,0.0,21.09
2022,ASA,0.0,14.31
