Year,Stock,Dividends,Price
1988,BKTI,0.0,1.41
1989,BKTI,0.0,1.19
1990,BKTI,0.072,0.75
1991,BKTI,0.0,5.75
1992,BKTI,0.0,5.12
1993,BKTI,0.0,5.75
1994,BKTI,0.0,4.88
1995,BKTI,0.0,4.25
1996,BKTI,0.0,3.38
1997,BKTI,0.0,7.56
1998,BKTI,0.0,1.53
1999,BKTI,0.0,3.12
2000,BKTI,0.0,0.41
2001,BKTI,0.0,1.05
2002,BKTI,0.0,0.49
2003,BKTI,0.0,1.55
2004,BKTI,0.0,2.25
2005,BKTI,0.0,7.31
2006,BKTI,0.0,6.0
2007,BKTI,6.698,3.15
2008,BKTI,0.0,0.74
2009,BKTI,0.0,3.14
2010,BKTI,0.0,1.8
2011,BKTI,0.0,1.1
2012,BKTI,0.0,1.68
2013,BKTI,0.0,3.37
2014,BKTI,0.0,4.8
2015,BKTI,0.0,3.94
2016,BKTI,2.473,4.75
2017,BKTI,3.026,3.55
2018,BKTI,1.083,3.75
2019,BKTI,1.018,3.1
2020,BKTI,1.002,3.03
2021,BKTI,1.172,2.41
2022,BKTI,2.029,3.32
