Year,Stock,Dividends,Price
1988,CECO,0.0,0.56
1989,CECO,0.0,0.16
1990,CECO,0.0,0.12
1991,CECO,0.0,0.41
1992,CECO,0.0,3.03
1993,CECO,0.0,3.19
1994,CECO,0.0,1.88
1995,CECO,0.0,3.06
1996,CECO,0.0,2.0
1997,CECO,0.0,3.06
1998,CECO,0.0,3.0
1999,CECO,0.0,2.5
2000,CECO,0.0,1.38
2001,CECO,0.0,3.3
2002,CECO,0.0,1.85
2003,CECO,0.0,1.65
2004,CECO,0.0,3.44
2005,CECO,0.0,5.74
2006,CECO,0.0,8.97
2007,CECO,0.0,10.98
2008,CECO,0.0,2.42
2009,CECO,0.0,3.95
2010,CECO,0.0,5.96
2011,CECO,0.728,5.55
2012,CECO,2.46,9.95
2013,CECO,4.337,16.15
2014,CECO,5.937,15.54
2015,CECO,7.977,7.68
2016,CECO,8.995,13.95
2017,CECO,7.792,5.13
2018,CECO,0.0,6.75
2019,CECO,0.0,7.66
2020,CECO,0.0,6.96
2021,CECO,0.0,6.23
2022,CECO,0.0,11.68
