Year,Stock,Dividends,Price
1988,PRG,0.472,10.12
1989,PRG,0.467,10.5
1990,PRG,0.443,8.88
1991,PRG,0.425,11.5
1992,PRG,0.506,9.5
1993,PRG,0.591,11.62
1994,PRG,0.709,12.0
1995,PRG,0.367,18.0
1996,PRG,0.765,11.88
1997,PRG,0.761,19.38
1998,PRG,0.801,15.12
1999,PRG,0.816,17.75
2000,PRG,0.792,14.06
2001,PRG,0.797,16.3
2002,PRG,0.798,21.88
2003,PRG,0.924,20.13
2004,PRG,2.042,25.0
2005,PRG,2.641,21.08
2006,PRG,2.909,28.78
2007,PRG,3.249,19.24
2008,PRG,3.43,26.62
2009,PRG,4.649,27.73
2010,PRG,2.929,20.39
2011,PRG,4.073,26.68
2012,PRG,5.843,28.28
2013,PRG,3.875,29.4
2014,PRG,7.823,30.57
2015,PRG,6.822,22.39
2016,PRG,7.42,31.99
2017,PRG,7.962,39.85
2018,PRG,6.243,42.05
2019,PRG,9.437,57.11
2020,PRG,13.778,53.87
2021,PRG,0.0,45.11
2022,PRG,0.0,16.89
