Year,Price (ACMTA),Dividends (ACMTA),Price (ACU),Dividends (ACU)
1988,8.75,0.0,6.0,0.508
1989,12.38,0.0,4.12,0.0
1990,11.88,0.0,5.25,0.524
1991,10.38,0.0,7.25,0.556
1992,10.25,0.0,5.75,0.664
1993,11.12,0.0,4.25,0.167
1994,9.25,0.0,3.25,0.0
1995,13.0,0.0,3.88,0.0
1996,14.75,0.0,5.5,0.0
1997,17.0,0.0,6.0,0.0
1998,15.25,0.0,2.25,0.0
1999,7.25,0.0,1.12,0.0
2000,7.12,0.0,2.81,0.0
2001,7.6,0.0,3.9,0.0
2002,9.0,0.0,3.76,0.0
2003,12.6,0.0,5.4,0.0
2004,12.8,0.0,15.7,0.143
2005,16.8,0.0,13.96,0.38
2006,23.75,0.0,14.41,0.429
2007,23.0,0.0,14.25,0.529
2008,24.0,0.0,7.05,0.595
2009,23.0,0.0,9.2,0.663
2010,26.0,0.0,9.52,0.656
2011,25.0,0.0,9.5,0.772
2012,22.0,0.0,11.04,1.089
2013,24.0,0.0,14.9,0.728
2014,21.0,0.0,19.99,1.064
2015,18.5,0.0,17.4,1.199
2016,21.73,0.0,25.57,1.333
2017,20.07,0.0,23.4,1.408
2018,29.0,0.0,14.25,1.485
2019,32.4,0.0,23.79,1.609
2020,34.5,0.0,30.13,1.605
2021,34.0,0.0,33.7,1.792
2022,33.0,0.0,21.9,1.903
