Year,Price (ACMTA),Dividends (ACMTA),Price (BKTI),Dividends (BKTI)
1988,8.75,0.0,1.41,0.0
1989,12.38,0.0,1.19,0.0
1990,11.88,0.0,0.75,0.072
1991,10.38,0.0,5.75,0.0
1992,10.25,0.0,5.12,0.0
1993,11.12,0.0,5.75,0.0
1994,9.25,0.0,4.88,0.0
1995,13.0,0.0,4.25,0.0
1996,14.75,0.0,3.38,0.0
1997,17.0,0.0,7.56,0.0
1998,15.25,0.0,1.53,0.0
1999,7.25,0.0,3.12,0.0
2000,7.12,0.0,0.41,0.0
2001,7.6,0.0,1.05,0.0
2002,9.0,0.0,0.49,0.0
2003,12.6,0.0,1.55,0.0
2004,12.8,0.0,2.25,0.0
2005,16.8,0.0,7.31,0.0
2006,23.75,0.0,6.0,0.0
2007,23.0,0.0,3.15,6.698
2008,24.0,0.0,0.74,0.0
2009,23.0,0.0,3.14,0.0
2010,26.0,0.0,1.8,0.0
2011,25.0,0.0,1.1,0.0
2012,22.0,0.0,1.68,0.0
2013,24.0,0.0,3.37,0.0
2014,21.0,0.0,4.8,0.0
2015,18.5,0.0,3.94,0.0
2016,21.73,0.0,4.75,2.473
2017,20.07,0.0,3.55,3.026
2018,29.0,0.0,3.75,1.083
2019,32.4,0.0,3.1,1.018
2020,34.5,0.0,3.03,1.002
2021,34.0,0.0,2.41,1.172
2022,33.0,0.0,3.32,2.029
