Year,Price (ACMTA),Dividends (ACMTA),Price (PRG),Dividends (PRG)
1988,8.75,0.0,10.12,0.472
1989,12.38,0.0,10.5,0.467
1990,11.88,0.0,8.88,0.443
1991,10.38,0.0,11.5,0.425
1992,10.25,0.0,9.5,0.506
1993,11.12,0.0,11.62,0.591
1994,9.25,0.0,12.0,0.709
1995,13.0,0.0,18.0,0.367
1996,14.75,0.0,11.88,0.765
1997,17.0,0.0,19.38,0.761
1998,15.25,0.0,15.12,0.801
1999,7.25,0.0,17.75,0.816
2000,7.12,0.0,14.06,0.792
2001,7.6,0.0,16.3,0.797
2002,9.0,0.0,21.88,0.798
2003,12.6,0.0,20.13,0.924
2004,12.8,0.0,25.0,2.042
2005,16.8,0.0,21.08,2.641
2006,23.75,0.0,28.78,2.909
2007,23.0,0.0,19.24,3.249
2008,24.0,0.0,26.62,3.43
2009,23.0,0.0,27.73,4.649
2010,26.0,0.0,20.39,2.929
2011,25.0,0.0,26.68,4.073
2012,22.0,0.0,28.28,5.843
2013,24.0,0.0,29.4,3.875
2014,21.0,0.0,30.57,7.823
2015,18.5,0.0,22.39,6.822
2016,21.73,0.0,31.99,7.42
2017,20.07,0.0,39.85,7.962
2018,29.0,0.0,42.05,6.243
2019,32.4,0.0,57.11,9.437
2020,34.5,0.0,53.87,13.778
2021,34.0,0.0,45.11,0.0
2022,33.0,0.0,16.89,0.0
