Year,Price (ACU),Dividends (ACU),Price (ASA),Dividends (ASA)
1988,6.0,0.508,38.0,35.438
1989,4.12,0.0,55.5,33.669
1990,5.25,0.524,46.88,33.627
1991,7.25,0.556,46.88,29.503
1992,5.75,0.664,31.88,19.547
1993,4.25,0.167,49.25,14.4
1994,3.25,0.0,44.88,19.2
1995,3.88,0.0,37.12,19.2
1996,5.5,0.0,34.75,13.44
1997,6.0,0.0,20.56,11.52
1998,2.25,0.0,15.56,7.68
1999,1.12,0.0,18.94,5.76
2000,2.81,0.0,15.31,5.76
2001,3.9,0.0,20.0,0.0
2002,3.76,0.0,40.98,0.0
2003,5.4,0.0,45.5,0.0
2004,15.7,0.143,40.45,0.0
2005,13.96,0.38,55.01,0.0
2006,14.41,0.429,64.56,0.0
2007,14.25,0.529,75.17,0.0
2008,7.05,0.595,51.0,0.0
2009,9.2,0.663,77.45,0.0
2010,9.52,0.656,34.71,0.0
2011,9.5,0.772,26.19,0.0
2012,11.04,1.089,21.53,0.0
2013,14.9,0.728,12.26,0.0
2014,19.99,1.064,10.11,0.0
2015,17.4,1.199,7.17,0.0
2016,25.57,1.333,11.04,0.0
2017,23.4,1.408,11.32,0.0
2018,14.25,1.485,9.46,0.0
2019,23.79,1.609,13.63,0.0
2020,30.13,1.605,21.87,0.0
2021,33.7,1.792,21.09,0.0
2022,21.9,1.903,14.31,0.0
