Year,Price (ACU),Dividends (ACU),Price (CECO),Dividends (CECO)
1988,6.0,0.508,0.56,0.0
1989,4.12,0.0,0.16,0.0
1990,5.25,0.524,0.12,0.0
1991,7.25,0.556,0.41,0.0
1992,5.75,0.664,3.03,0.0
1993,4.25,0.167,3.19,0.0
1994,3.25,0.0,1.88,0.0
1995,3.88,0.0,3.06,0.0
1996,5.5,0.0,2.0,0.0
1997,6.0,0.0,3.06,0.0
1998,2.25,0.0,3.0,0.0
1999,1.12,0.0,2.5,0.0
2000,2.81,0.0,1.38,0.0
2001,3.9,0.0,3.3,0.0
2002,3.76,0.0,1.85,0.0
2003,5.4,0.0,1.65,0.0
2004,15.7,0.143,3.44,0.0
2005,13.96,0.38,5.74,0.0
2006,14.41,0.429,8.97,0.0
2007,14.25,0.529,10.98,0.0
2008,7.05,0.595,2.42,0.0
2009,9.2,0.663,3.95,0.0
2010,9.52,0.656,5.96,0.0
2011,9.5,0.772,5.55,0.728
2012,11.04,1.089,9.95,2.46
2013,14.9,0.728,16.15,4.337
2014,19.99,1.064,15.54,5.937
2015,17.4,1.199,7.68,7.977
2016,25.57,1.333,13.95,8.995
2017,23.4,1.408,5.13,7.792
2018,14.25,1.485,6.75,0.0
2019,23.79,1.609,7.66,0.0
2020,30.13,1.605,6.96,0.0
2021,33.7,1.792,6.23,0.0
2022,21.9,1.903,11.68,0.0
