Year,Price (ACU),Dividends (ACU),Price (PRG),Dividends (PRG)
1988,6.0,0.508,10.12,0.472
1989,4.12,0.0,10.5,0.467
1990,5.25,0.524,8.88,0.443
1991,7.25,0.556,11.5,0.425
1992,5.75,0.664,9.5,0.506
1993,4.25,0.167,11.62,0.591
1994,3.25,0.0,12.0,0.709
1995,3.88,0.0,18.0,0.367
1996,5.5,0.0,11.88,0.765
1997,6.0,0.0,19.38,0.761
1998,2.25,0.0,15.12,0.801
1999,1.12,0.0,17.75,0.816
2000,2.81,0.0,14.06,0.792
2001,3.9,0.0,16.3,0.797
2002,3.76,0.0,21.88,0.798
2003,5.4,0.0,20.13,0.924
2004,15.7,0.143,25.0,2.042
2005,13.96,0.38,21.08,2.641
2006,14.41,0.429,28.78,2.909
2007,14.25,0.529,19.24,3.249
2008,7.05,0.595,26.62,3.43
2009,9.2,0.663,27.73,4.649
2010,9.52,0.656,20.39,2.929
2011,9.5,0.772,26.68,4.073
2012,11.04,1.089,28.28,5.843
2013,14.9,0.728,29.4,3.875
2014,19.99,1.064,30.57,7.823
2015,17.4,1.199,22.39,6.822
2016,25.57,1.333,31.99,7.42
2017,23.4,1.408,39.85,7.962
2018,14.25,1.485,42.05,6.243
2019,23.79,1.609,57.11,9.437
2020,30.13,1.605,53.87,13.778
2021,33.7,1.792,45.11,0.0
2022,21.9,1.903,16.89,0.0
