Year,Price (AIR),Dividends (AIR),Price (PRG),Dividends (PRG)
1988,24.75,6.702,10.12,0.472
1989,36.0,7.547,10.5,0.467
1990,11.5,7.651,8.88,0.443
1991,13.5,7.631,11.5,0.425
1992,11.75,7.614,9.5,0.506
1993,14.5,7.635,11.62,0.591
1994,13.38,7.65,12.0,0.709
1995,22.0,7.676,18.0,0.367
1996,30.25,7.976,11.88,0.765
1997,38.75,9.118,19.38,0.761
1998,23.88,9.375,15.12,0.801
1999,17.94,9.218,17.75,0.816
2000,12.62,9.157,14.06,0.792
2001,9.01,4.43,16.3,0.797
2002,5.15,0.797,21.88,0.798
2003,14.95,0.0,20.13,0.924
2004,13.62,0.0,25.0,2.042
2005,23.95,0.0,21.08,2.641
2006,29.19,0.0,28.78,2.909
2007,38.03,0.0,19.24,3.249
2008,18.41,0.0,26.62,3.43
2009,22.98,0.0,27.73,4.649
2010,27.47,2.983,20.39,2.929
2011,19.17,12.081,26.68,4.073
2012,18.68,12.8,28.28,5.843
2013,28.01,11.8,29.4,3.875
2014,27.78,12.5,30.57,7.823
2015,26.29,10.4,22.39,6.822
2016,33.05,10.2,31.99,7.42
2017,39.29,10.3,39.85,7.962
2018,37.34,10.5,42.05,6.243
2019,45.1,10.7,57.11,9.437
2020,36.22,0.1,53.87,13.778
2021,39.03,0.0,45.11,0.0
2022,44.9,0.0,16.89,0.0
