Year,Price (ASA),Dividends (ASA),Price (BKTI),Dividends (BKTI)
1988,38.0,35.438,1.41,0.0
1989,55.5,33.669,1.19,0.0
1990,46.88,33.627,0.75,0.072
1991,46.88,29.503,5.75,0.0
1992,31.88,19.547,5.12,0.0
1993,49.25,14.4,5.75,0.0
1994,44.88,19.2,4.88,0.0
1995,37.12,19.2,4.25,0.0
1996,34.75,13.44,3.38,0.0
1997,20.56,11.52,7.56,0.0
1998,15.56,7.68,1.53,0.0
1999,18.94,5.76,3.12,0.0
2000,15.31,5.76,0.41,0.0
2001,20.0,0.0,1.05,0.0
2002,40.98,0.0,0.49,0.0
2003,45.5,0.0,1.55,0.0
2004,40.45,0.0,2.25,0.0
2005,55.01,0.0,7.31,0.0
2006,64.56,0.0,6.0,0.0
2007,75.17,0.0,3.15,6.698
2008,51.0,0.0,0.74,0.0
2009,77.45,0.0,3.14,0.0
2010,34.71,0.0,1.8,0.0
2011,26.19,0.0,1.1,0.0
2012,21.53,0.0,1.68,0.0
2013,12.26,0.0,3.37,0.0
2014,10.11,0.0,4.8,0.0
2015,7.17,0.0,3.94,0.0
2016,11.04,0.0,4.75,2.473
2017,11.32,0.0,3.55,3.026
2018,9.46,0.0,3.75,1.083
2019,13.63,0.0,3.1,1.018
2020,21.87,0.0,3.03,1.002
2021,21.09,0.0,2.41,1.172
2022,14.31,0.0,3.32,2.029
