Year,Price (ASA),Dividends (ASA),Price (PRG),Dividends (PRG)
1988,38.0,35.438,10.12,0.472
1989,55.5,33.669,10.5,0.467
1990,46.88,33.627,8.88,0.443
1991,46.88,29.503,11.5,0.425
1992,31.88,19.547,9.5,0.506
1993,49.25,14.4,11.62,0.591
1994,44.88,19.2,12.0,0.709
1995,37.12,19.2,18.0,0.367
1996,34.75,13.44,11.88,0.765
1997,20.56,11.52,19.38,0.761
1998,15.56,7.68,15.12,0.801
1999,18.94,5.76,17.75,0.816
2000,15.31,5.76,14.06,0.792
2001,20.0,0.0,16.3,0.797
2002,40.98,0.0,21.88,0.798
2003,45.5,0.0,20.13,0.924
2004,40.45,0.0,25.0,2.042
2005,55.01,0.0,21.08,2.641
2006,64.56,0.0,28.78,2.909
2007,75.17,0.0,19.24,3.249
2008,51.0,0.0,26.62,3.43
2009,77.45,0.0,27.73,4.649
2010,34.71,0.0,20.39,2.929
2011,26.19,0.0,26.68,4.073
2012,21.53,0.0,28.28,5.843
2013,12.26,0.0,29.4,3.875
2014,10.11,0.0,30.57,7.823
2015,7.17,0.0,22.39,6.822
2016,11.04,0.0,31.99,7.42
2017,11.32,0.0,39.85,7.962
2018,9.46,0.0,42.05,6.243
2019,13.63,0.0,57.11,9.437
2020,21.87,0.0,53.87,13.778
2021,21.09,0.0,45.11,0.0
2022,14.31,0.0,16.89,0.0
