Year,Price (BKTI),Dividends (BKTI),Price (CECO),Dividends (CECO)
1988,1.41,0.0,0.56,0.0
1989,1.19,0.0,0.16,0.0
1990,0.75,0.072,0.12,0.0
1991,5.75,0.0,0.41,0.0
1992,5.12,0.0,3.03,0.0
1993,5.75,0.0,3.19,0.0
1994,4.88,0.0,1.88,0.0
1995,4.25,0.0,3.06,0.0
1996,3.38,0.0,2.0,0.0
1997,7.56,0.0,3.06,0.0
1998,1.53,0.0,3.0,0.0
1999,3.12,0.0,2.5,0.0
2000,0.41,0.0,1.38,0.0
2001,1.05,0.0,3.3,0.0
2002,0.49,0.0,1.85,0.0
2003,1.55,0.0,1.65,0.0
2004,2.25,0.0,3.44,0.0
2005,7.31,0.0,5.74,0.0
2006,6.0,0.0,8.97,0.0
2007,3.15,6.698,10.98,0.0
2008,0.74,0.0,2.42,0.0
2009,3.14,0.0,3.95,0.0
2010,1.8,0.0,5.96,0.0
2011,1.1,0.0,5.55,0.728
2012,1.68,0.0,9.95,2.46
2013,3.37,0.0,16.15,4.337
2014,4.8,0.0,15.54,5.937
2015,3.94,0.0,7.68,7.977
2016,4.75,2.473,13.95,8.995
2017,3.55,3.026,5.13,7.792
2018,3.75,1.083,6.75,0.0
2019,3.1,1.018,7.66,0.0
2020,3.03,1.002,6.96,0.0
2021,2.41,1.172,6.23,0.0
2022,3.32,2.029,11.68,0.0
